id,db_id,item
101,NOORX2h2HbrIM0GJjL9J,N64 AC Adapter
102,NYAQa0fSZKaow2O4FJjG,Wii Mic
103,Ng8nNXvI76XstlkIMh9s,Pop'n Music Pad
104,NgY0wsqcNH8Ja96oUc6V,PS4 VR Headset
105,NmqlKnIQH4m6NTtCEMAI,GC [DOL-101]
106,O9858sZlGIlyY48TTOPK,PS1 Slimline Con
107,OVfawgZCe29SxG7CLr5R,DSi LL
108,ObRlHmCaeI91m67FPZcU,N64 Con
109,OvnaIjSBeoFBsRS0Y6GI,SFC
110,PF6zWiWOjRxwKrmRw2oA,R.O.B. (boxed)
111,PaVQDrGaUjcYp3KPYkmN,Blue N64 Con (boxed)
112,Pse4aMX8v9HeE72C0wNB,N64 Turbo Con (Hudson)
113,Q8thI8MOnGNIVf261whb,Sega DS Card Reader
114,QXMQ0LntKXiKdHL4Y7Sw,Taiko Drum
115,QgdboCjBXuOTSxD2XFnb,GDEMU
116,QoIy5z7ALxygRFigBAFq,Saturn Mem
117,QpyOFnPXfR4LPDUCdQrP,Sega FS
118,QvUB8tHBNDmkwWhylwa5,PS3 Con
119,RA1sLo6TzHsbRjgqZMHq,DS Lite Boxed
120,RLTezhK4keTvDr70COUX,DS Original
121,RgHI0PNysdwZQ2Q2K5qH,N64 Game [Boxed]
122,S5WCwU2E9mlm0WcyhMbT,Mario Strikers Charged (Wii)
123,S5f47r0l0ZyTbt4CCwM9,Blue VMU (boxed)
124,SPg2CuiOAQlcnmIZPAOv,Taiko Drum (boxed)
125,SQKlFz7S2x6PMXNAnNnD,N64 AV Cable
126,ST8yllzbAiBh5De8O8kP,Wii U Con
127,STKdatHmQLwNLJXq1fxP,DS Lite Charger
128,Sb63aOKKGWawJOyhoDm0,PS3 Fat
129,SpXG1Qbq7zMViUieqjdJ,Virtua Fighter 4 Stick
130,SwZwDajjOeM327rA6Uw1,Drm Mission Stick
131,TPn6WJv5zUMn2GLqQKwn,DS Original Motherboard
132,ToNNNCTeSKGQuHeJy409,Saturn AV Cable
133,UQAiJaSEgXisBIPIMPnD,Xbox Orig Con
134,Ubj4GTjF1hgFtxFHaGia,Mario DDR Pad
135,UtTSNvusObuHWpIpk4aM,N64 Con (Loose Stick)
136,V1Bxblt6kGpCOQph4LP9,GDEMU SD Extender Kit
137,VMOG89MRAOehGcYqHRrE,PS4
138,VZd8LM876rYPaXOPgSrB,GC Mem Knockoff 1019
139,Vi8nvewNnfADGqACmjTY,VMU
140,VjBW5i3jU5G0qCjVzg7m,PS2 Mem Card [OEM]
141,WSqm0efrktNI5TTPCJVX,Metal Gear Solid HD (American) (Xbox 360)
142,Ww2Sf4iypCZWsllkBp5e,PS1 Mem Card [OEM]
143,X11jJFJx1ymgGSbDcdJS,PS2 HDD (3.5 series)
144,XM89BaYAPEcR4yeUtQUi,Wii U (WUP-001(01)) (8GB)
145,Xkrg5XHercMS20qWarDQ,Inazuma Eleven Strikers (Wii)
146,YD4IkqjiU6NnG9sD4qHp, DRM 4X Memory Card
147,YDxwch9Hzj13EqLj79f2,Xbox 360 Con
148,YPTcMcgz6i1qeEIAJ7cD,NFC Reader (boxed)
149,YPfCn4DX2yfRdysR47ah,new3DS LL
150,YQlPav9nl4eO6o1cIQtF,BustAMove Con (boxed)
151,YcWMd30IK5gewrzqAgzW,Saturn VCD
152,YsZuDWV6LEmWyyg3Vkhn,N64 [Boxed]
153,YxGyIhCoGGi6fsk3Beo8,Gameboy Player
154,YzDfvc0FLvQkBtcpEcfX,GC Con
155,Z2fKG4V5qRNCuc5CzhNI,DRM Keyboard
156,ZBroqZgzmGouENEl1iVl,Switch Pro Controller
157,ZKCDLD6gzbnBtQwt55RC,GC Mem Knockoff 251
158,ZN8KTWcIWxmNs5djjwrR,DRM Jump Pack
159,Zaj2L6TlNi20r5YsGUpD,Hitachi Hisaturn
160,ZcSSpwtX8cl9fICLin8R,NDEV
161,ZnuE55ObaCm6FalhK5L7,Saturn Gun
162,aH9iGjlVeTjiCSWI8DIe,Saturn
163,aZ1t0v9ZQldFjSkDPOzJ,Pokémon Games
164,ae0MdU3jVsn12AFEjeeT,Pokémon Battle Revolution (Wii)
165,awWufKvFvvF1V9Q9IocI,Saturn Expansion Ram Cartridge 
166,bCs9Y7puTSp91kDdqhx8,DS Original Charger
167,boP0HPaJuFshEG2KxH6X,Hori Compact Joystick
168,c1CUzPNNcPsi6EBoa5rI,PS2 SCPH-10000
169,c2pB9as6K8BPmpppcUnX,GC AC Adapter
170,c64umpuDWdeuRLUD2jHn,DRM Power Strip
171,cBxlsdDvO7MbspPalgOx,Wii AC Adapter
172,cVUvSD1xHC978Kx7GlzU,Wii Sensor Bar
173,d5oHNa0s0ecbXFljqEqL,DRM Twin Stick
174,d9egBrYYHhyZFAUiHPnv,Wii U AC Adapter WUP-011
175,dBw23EF2MxSyEp2FK9JF,PS3
176,dCgppzGDzN4lB4HOyrha,N64 ASCII Fishing Reels
177,dDlQXkL3Fp8V3DFASOse,Wii Taiko Drum + Bachi [Box]
178,dHZsC4olhShVBHfmoleE,SFC [Boxed]
179,dSJfIYbQbCFRSZecownS,DRM Fishing Reel
180,dyp54Q7eGAs4lTHMJa8L,Mario 3D All-Stars
181,eDXOwaOyWKtH2nQwCYan,Gameboy Advance
182,eMSVGJBsZcjgJw5HMC1t,Luigi Wheel
183,es4vrQRmZdBX7yY3d4PD,PS4 VR Processor V1
184,ewdOdDwxoO36y2m3XxMO,Saturn Power Cord
185,fPlmsqNzKxyVjqsEmulZ,GC DK Bongos
186,fXBitYdaXXdMVte5Qk8C,Saturn 3D Multi Con
187,fj8niKEiVeaKbKSUovPs,PS2 Dual Shock Con
188,fpDMH9d4pNaFs4dJRKSI,Saturm Mem
189,fq7GUL3199356TwLkdC3,Lenovo AC Adapter
190,fxY001U4uyqrmXmSAjtJ,PS2 Mem Card [Hori]
191,grBYZVKOdeZxSmRoDiTe,Command Stick FS
192,h7tVryMdQf0861z6oyc3,DRM Maracas
193,hVKSTky2gYJAeDddNOQV,DS Lite
194,iFqIB1yynIwBmfUg0Hjp,DRM AV Cable
195,iNEZC1aBa66BtjSVyFZn,PS4 VR Processor V2
196,iaaU91MbpUWAR8NQchyh,Wii Nunchuck
197,k40etST2II6zvZLnwAFz,Wii U Gamepad
198,kBIYUpO1YSuw7DDU1xaU,Beavis and Butthead (PS)
199,kCt6oojsowe40mds4qRk,PS1 
200,kcyOqlpSjOxpv9ZpONeh,Xbox 360
201,l3ZEWkPvmSplLql2xB2i,DRM Popn
202,lUX9PIFzOObfP7B9eq9E,new 3DS
203,lWdyGHaGwvl7DvLjqmKk,Capcom CPS Fighter
204,luRZYx9KpAkCOBkKb9Ix,Wii M+ Adapter
205,mLUj73E3frECJEUJL1qM,GC Mem Knockoff
206,n2PMx7GYyOOZ8mQlxpsC,PS2 Multitap
207,nJrfY1rtfMs0yqL4Vpfq,Wii Pro Con
208,oL2l1OjnB3BNLENQkoRb,Switch
209,ooZdAqnEFMdIOUD9H9xy,Gameboy Micro Charger
210,pINnaOh7hK6yso0Nhp6O,PS2 Mem Card [KOTOBUKI]
211,pZKL1jKht3eFSKzV2olA,Hori FS SS (boxed)
212,qkdRnxKlU4c7mGy7EVvS,N64 Turbo Con (ACII)
213,qo4qJJbbcei9VThcT8ci,PS2 Mem Card [KEMCO]
214,qyEWkJHf9RXDlfQ7HzjM,Wii Wheel [Boxed]
215,rBVvI0sL1F4QjvYij1Nu,N64 Game
216,rMhwIgk3oyN1kS1ouzPq,Wii American
217,ri7BtZBzSxWd5jRBctFM,Xbox One
218,rr4wZ1XXjF4M2JU5aVGh,GC Region Switched
219,s1IgA5F8SjT5iUO6fBPu,N64 Transfer Pak
220,sFStLRHpzRu2rfJbxFwU,Among Us Figurine
221,sKXAyphTo9mFCLCW1cqW,SFC Bomberman Multitap
222,soWEPSYoV7RoKO4kZztI,DRM Rumble Pak (Puru puru)
223,sopGAgdK3BME51HDaWjU,SFC SGB
224,stnz63AAGyUMZzQWn63s,Wii M+ Con
225,svXJEQMnwuDfLPUHUUCi,2DS
226,szwHfL3PIELDWokmt8kl,PS2
227,tnv83uJ3kSa7NLLoD3Fd,DRM Con
228,uJ5EdHELiRYdU88MlKCe,N64 Mic Adapter
229,uhFdgu2lATzjc5v96uEn,DSO Charger (USB)
230,vFaxxpsx5W7yH6fzI4Zx,N64 Carrying Case
231,vTQzFyQAZySq6m10hwOZ,PSP
